Monit_MAP_CODE1,Year,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax
82031800-01,2004,0.0,0.0,3.317960339943345,3.317960339943345,289457.507082153,289457.507082153,2033.4220963172804,2033.4220963172804
27004203-01,2013,1133.5346484572585,1133.5346484572585,0.23473950429944387,0.23473950429944387,150407.43550834598,150407.43550834598,2901.466868993424,2901.466868993424
10002900-01,2014,1305.7439024390244,1305.7439024390244,39.71341463414634,39.71341463414634,416758.53658536583,416758.53658536583,3429.951219512195,3429.951219512195
82003800-01,2005,0.0,0.0,15.680223880597012,15.680223880597012,398720.89552238805,398720.89552238805,1186.8059701492537,1186.8059701492537
82014800-01,2011,1186.322033898305,1186.322033898305,22.325762711864403,22.325762711864403,317247.4576271186,317247.4576271186,0.0,0.0
10000500-01,2010,1480.4351032448378,1480.4351032448378,2.02858407079646,2.02858407079646,327899.70501474926,327899.70501474926,2476.0575221238937,2476.0575221238937
62000100-01,2008,1233.8638412984672,1233.8638412984672,0.09750450856627588,0.09750450856627588,284249.4815148783,284249.4815148783,36238.87015329125,36238.87015329125
27010200-01,2011,0.0,0.0,0.6514293276866041,0.6514293276866041,314392.50926416094,314392.50926416094,4904.578613022763,4904.578613022763
62005700-01,2013,1448.8112379280071,1448.8112379280071,1.3870851624231666,1.3870851624231666,279803.24846356455,279803.24846356455,0.0,0.0
02008400-01,2011,2020.9911894273127,2020.9911894273127,0.6502622194252204,0.6502622194252204,252474.1766310048,252474.1766310048,5389.913362701909,5389.913362701909
62000700-01,2014,1420.64537854157,1420.64537854157,0.49524384579656017,0.49524384579656017,231748.1189038551,231748.1189038551,3507.5220622387365,3507.5220622387365
82015900-02,2014,1204.5399176954732,1204.5399176954732,0.6384938271604917,0.6384938271604917,202452.51028806585,202452.51028806585,0.0,0.0
82010800-01,2007,0.0,0.0,0.0,0.0,277905.35714285716,277905.35714285716,0.0,0.0
27071100-01,2005,0.0,0.0,0.0,0.0,375239.58207147184,375239.58207147184,8616.429436705028,8616.429436705028
10010700-01,2004,1232.3949579831933,1232.3949579831933,4.765063025210081,4.765063025210081,168080.25210084033,168080.25210084033,1485.0357142857142,1485.0357142857142
10000200-04,2009,192.63856638061586,192.63856638061586,0.8066330136294784,0.8066330136294784,540331.9535588087,540331.9535588087,6963.21554770318,6963.21554770318
27004202-01,2004,0.0,0.0,0.0,0.0,194722.9794933655,194722.9794933655,3867.2608564535585,3867.2608564535585
27007000-01,2006,0.0,0.0,0.0,0.0,373530.3162170003,373530.3162170003,5271.366985784741,5271.366985784741
27018200-01,2007,0.0,0.0,0.9151700500922768,0.9151700500922768,318595.51805958344,318595.51805958344,3574.2660163459004,3574.2660163459004
62006200-01,2005,2151.611464968153,2151.611464968153,1.0097861692447665,1.0097861692447665,455020.9281164695,455020.9281164695,0.0,0.0
70002600-01,2012,1216.09229390681,1216.09229390681,0.6783243727598578,0.6783243727598578,302794.2652329749,302794.2652329749,0.0,0.0
10001500-01,2012,2269.5503875968993,2269.5503875968993,1.368158914728683,1.368158914728683,616404.6511627907,616404.6511627907,9037.258720930233,9037.258720930233
10024900-01,2014,8805.61,8805.61,9.576200000000002,9.576200000000002,1305914.0,1305914.0,37993.76,37993.76
19008800-01,2013,2053.21641337386,2053.21641337386,0.3966504559270555,0.3966504559270555,209341.1246200608,209341.1246200608,3934.415197568389,3934.415197568389
82004200-01,2012,1407.5844155844156,1407.5844155844156,10.978441558441558,10.978441558441558,300772.7272727273,300772.7272727273,0.0,0.0
82003400-01,2014,668.2307692307693,668.2307692307693,26.96769230769231,26.96769230769231,411815.3846153846,411815.3846153846,0.0,0.0
82004800-01,2007,0.0,0.0,0.0,0.0,336329.29292929295,336329.29292929295,0.0,0.0
10010700-01,2010,1314.857142857143,1314.857142857143,4.270238095238092,4.270238095238092,172668.45238095237,172668.45238095237,1892.7410714285713,1892.7410714285713
70006500-01,2005,1224.4571428571428,1224.4571428571428,8.444857142857149,8.444857142857149,296451.02040816325,296451.02040816325,0.0,0.0
19007600-01,2007,2038.2187620146099,2038.2187620146099,0.6701653210303692,0.6701653210303692,299097.4240676663,299097.4240676663,2700.9265667051136,2700.9265667051136
10008600-01,2009,1090.6171875,1090.6171875,40.69328125,40.69328125,355981.25,355981.25,2341.6640625,2341.6640625
19036900-01,2010,2749.11051212938,2749.11051212938,0.9353268194070109,0.9353268194070109,361956.70485175203,361956.70485175203,5814.240566037736,5814.240566037736
82015900-04,2013,1513.3333333333333,1513.3333333333333,2.187762237762237,2.187762237762237,231610.95571095572,231610.95571095572,0.0,0.0
02008100-01,2014,964.3850743955363,964.3850743955363,0.2611205827650334,0.2611205827650334,190461.92653440795,190461.92653440795,3572.119187848729,3572.119187848729
82000200-02,2012,1070.1642857142858,1070.1642857142858,10.556785714285708,10.556785714285708,272820.71428571426,272820.71428571426,0.0,0.0
82010900-01,2004,0.0,0.0,10.303967391304349,10.303967391304349,873265.2173913043,873265.2173913043,2682.3260869565215,2682.3260869565215
10000900-02,2008,1576.0060753341434,1576.0060753341434,2.0156257594167553,2.0156257594167553,412090.40097205347,412090.40097205347,3347.924665856622,3347.924665856622
19007900-01,2011,1595.4010805839753,1595.4010805839753,0.42467639958615805,0.42467639958615805,263915.9788481435,263915.9788481435,3648.7315783423383,3648.7315783423383
10001300-01,2007,2881.3842311808776,2881.3842311808776,0.8759971459150894,0.8759971459150894,423359.7930788441,423359.7930788441,7141.023189439886,7141.023189439886
82010100-01,2010,1218.0354609929077,1218.0354609929077,2.803758865248227,2.803758865248227,366399.29078014183,366399.29078014183,0.0,0.0
82001700-01,2010,1776.76,1776.76,10.632933333333328,10.632933333333328,397928.0,397928.0,0.0,0.0
82000200-01,2011,1075.5204081632653,1075.5204081632653,9.573163265306121,9.573163265306121,385701.02040816325,385701.02040816325,0.0,0.0
82003100-01,2010,721.9493670886076,721.9493670886076,17.402911392405066,17.402911392405066,365081.0126582279,365081.0126582279,0.0,0.0
82005202-02,2009,292.23376623376623,292.23376623376623,1.783766233766233,1.783766233766233,144717.53246753247,144717.53246753247,130273.37662337662,130273.37662337662
82007700-01,2014,1529.090909090909,1529.090909090909,10.15515151515151,10.15515151515151,344698.9898989899,344698.9898989899,0.0,0.0
10001900-01,2004,1098.6548082267927,1098.6548082267927,1.944902723735413,1.944902723735413,276891.7732073374,276891.7732073374,2420.1156197887717,2420.1156197887717
27000400-01,2009,0.0,0.0,0.9360556926330739,0.9360556926330739,399235.5833627071,399235.5833627071,8425.001586182587,8425.001586182587
10001100-01,2009,2007.2006578947369,2007.2006578947369,0.7092434210526327,0.7092434210526327,396250.9868421053,396250.9868421053,4353.565789473684,4353.565789473684
19002900-01,2010,2675.3984435797665,2675.3984435797665,0.7490972762645908,0.7490972762645908,317976.18677042803,317976.18677042803,5817.007782101167,5817.007782101167
10001600-01,2010,905.7153846153847,905.7153846153847,24.576538461538465,24.576538461538465,300313.8461538461,300313.8461538461,2134.630769230769,2134.630769230769
70002100-01,2012,1649.27638483965,1649.27638483965,1.0496501457725846,1.0496501457725846,277434.6355685131,277434.6355685131,0.0,0.0
82012300-01,2012,1675.5481927710844,1675.5481927710844,7.234156626506024,7.234156626506024,303081.9277108434,303081.9277108434,0.0,0.0
82013500-01,2005,202.954128440367,202.954128440367,0.5434220183486231,0.5434220183486231,491452.93577981653,491452.93577981653,2953.1963302752292,2953.1963302752292
82001000-01,2008,0.0,0.0,4.290552677029364,4.290552677029364,615174.9568221071,615174.9568221071,605042.1416234887,605042.1416234887
02009100-03,2004,0.0,0.0,3.7818362831858408,3.7818362831858408,150235.24336283185,150235.24336283185,1218.3893805309735,1218.3893805309735
10010800-01,2008,1760.3176470588235,1760.3176470588235,55.59388235294116,55.59388235294116,505198.82352941175,505198.82352941175,2662.670588235294,2662.670588235294
